section,item,part_number,qty,unit_price,currency,vendor,status,note,link
Arms,DAMIAO DM-J4310 actuator (wrist joints),DM-J4310,6,599.00,CNY,Taobao,corrected,"Sheet writes 'DMJ4301'. The repo build table lists DM-J4310 x6 for the arm wrists (3 per arm) and the linked listing is the 4310 family.",
Arms,DAMIAO DM-J4340 actuator (shoulder roll + elbow),DM-J4340,4,882.33,CNY,Taobao,corrected,"Sheet writes 'DMJ4343'; the linked listing is DM4340 and the repo lists DM-J4340 x4 (27 N.m).",
Arms,DAMIAO DM-J8009P actuator (shoulder pitch/yaw),DM-J8009P,4,1899.00,CNY,Taobao,corrected,"Sheet writes 'DMJ4341'; the linked listing is DM8009P and the repo lists DM-J8009P x4 (40 N.m).",
Arms,OpenArm structural parts (7075 CNC + sheet metal),custom,1,2699.00,CNY,Taobao,sheet,"Both arms; machined-to-order set.",
Arms,Arm cable and connector harness,custom,1,865.00,CNY,Taobao,corrected,"Sheet left the currency blank. Read as CNY 865 ($128) because the vendor is Taobao; if it was USD 865 the arm subtotal rises by $737.",
Hands,Feetech HLS3915M bus servo (finger),HLS3915M,32,235.00,CNY,Taobao,sheet,"16 per ORCA hand; 14 kgf.cm dual-shaft metal-gear TTL servo.",
Hands,Feetech HLS3930M bus servo (wrist),HLS3930M,2,359.00,CNY,Taobao,sheet,"1 per hand; 35 kgf.cm.",
Hands,Feetech TTL bus driver board,ST/SC series,2,27.65,CNY,Taobao,sheet,"USB-UART bridge onto the 1 Mbit TTL hand bus; one per hand.",
Hands,Feetech 5264 power-distribution board,ST/SC series,2,18.00,CNY,Taobao,sheet,"Grouped power fan-out for the hand bus; one per hand.",
Head & neck,DAMIAO DM-J4310 actuator (neck yaw),DM-J4310,1,599.00,CNY,Taobao,sheet,"Neck yaw sits on the DaMiao CAN bus; pitch and roll are Dynamixels (next row).",https://item.taobao.com/item.htm?id=1057082183324
Head & neck,ROBOTIS Dynamixel XC330-T181-T (neck pitch + roll),XC330-T181-T,2,103.39,USD,ROBOTIS,corrected,"Sheet listed 1x 2XL430-W250-T at $149.39. The HAL identifies the installed servos by model number: mabel_hw/drivers/dynamixel.py:73-75 records 'MABEL's neck reports 1090 = XC330-T181' and config.py:665 says there are two of them.",https://robotis.us/dynamixel-xc330-t181-t/
Sensing,Intel RealSense D405 depth camera (wrist),82635DSD405,2,288.00,USD,DigiKey,sheet,"Both wrists are D405 as of 2026-07-10; mabel_hw/config.py:431 confirms the two-D405 rig.",https://www.digikey.com/en/product-highlight/i/intel-realsense/d405-depth-camera
Sensing,Intel RealSense D435i depth camera (front/chest),82635D435IDK5P,1,319.72,USD,PCNation,sheet,"Front camera + IMU source for VIO (config.py:387).",
Sensing,Stereolabs ZED Mini stereo camera (head),ZED Mini,1,399.00,USD,Stereolabs,sheet,"First-person head stereo for teleoperation.",https://www.stereolabs.com/store/products/zed-mini
Sensing,Slamtec RPLIDAR A2M12 2-D scanner,A2M12,1,228.63,USD,Amazon,sheet,"12 m / 15 Hz. The published build guide still says 'RPLIDAR A3' - that page is stale; A2M12 is the as-built unit.",
Structure & fasteners,Aluminum extrusion cut set,2x2 in and 2x4 in,1,101.46,USD,McMaster-Carr,sheet,"2x2 in: 15 in x2 + 17 in x2 + 4.75 in x3 + 8 in x2. 2x4 in: 10 in x1 + 12.5 in x2.",https://www.mcmaster.com/
Structure & fasteners,Metric screw assortment,-,1,13.99,USD,Amazon,sheet,,
Structure & fasteners,Imperial screw assortment (lift + extrusion),-,1,8.99,USD,Amazon,sheet,,
Structure & fasteners,Extrusion 90-degree corner brackets,-,1,26.90,USD,Amazon,sheet,,
Structure & fasteners,Extrusion angled gusset plates (1010 series),-,1,20.88,USD,Amazon,sheet,,
Structure & fasteners,Magnets (cover retention),-,1,11.99,USD,Amazon,sheet,,
Electronics & power,Buck converter 24 V to 12 V,-,1,18.99,USD,Amazon,sheet,,
Electronics & power,6-port 2.5 GbE managed switch (4x2.5G + 2x SFP+),SODOLA,1,49.99,USD,Amazon,sheet,"Onboard network spine between Thor and the MCU nodes.",
Electronics & power,SFP+ twinax DAC cable,-,1,45.99,USD,Amazon,sheet,,
Electronics & power,USB expansion card / powered hub,-,1,74.99,USD,Amazon,sheet,"Feeds the three RealSense/ZED USB3 trees; contention here is a known video-latency source.",
Electronics & power,Raspberry Pi Pico (lift controller),-,1,15.95,USD,Amazon,sheet,"Runs the lift leadscrew loop.",
Electronics & power,BTS7960 H-bridge (lift motor),-,1,9.99,USD,Amazon,sheet,,
Electronics & power,Teensy 4.1 (swerve base controller),Teensy 4.1,1,31.50,USD,SparkFun,added,"firmware/swerve_drive runs on a Teensy 4.1 that takes UDP :8888 from Thor and drives the REV SPARK CAN bus (firmware/CLAUDE.md:13). Absent from the submitted sheet.",https://www.sparkfun.com/teensy-4-1.html
Electronics & power,Teensy 4.1 (arm/torso/neck CAN controller),Teensy 4.1,1,31.50,USD,SparkFun,added,"firmware/openarm runs a 500 Hz loop over three DaMiao MIT CAN buses on a second Teensy 4.1 (firmware/CLAUDE.md:14). Absent from the submitted sheet.",https://www.sparkfun.com/teensy-4-1.html
Electronics & power,Ethernet patch cable,-,2,6.99,USD,Amazon,sheet,"Upper body and mobile base.",
Electronics & power,USB-C cable 10 ft (ZED Mini),-,1,20.68,USD,Amazon,sheet,,
Electronics & power,USB-C to USB-A cable,-,4,6.99,USD,Amazon,sheet,"Head cam x1 + hands x2 + base cam x1.",
Electronics & power,Micro-B to USB-A cable (wrist cameras),-,2,13.99,USD,Amazon,sheet,,
Electronics & power,Fuse box / blade fuse block,-,1,15.99,USD,Amazon,sheet,,
Electronics & power,Cable sleeving 1/4 in,-,1,8.99,USD,Amazon,sheet,"Quantity was blank on the sheet; assumed 1.",
Electronics & power,Cable sleeving 1/2 in,-,2,8.99,USD,Amazon,sheet,,
Electronics & power,Battery pack,-,2,46.81,USD,Amazon,sheet,,
Electronics & power,Main power cable (6 AWG XT-series),-,1,24.99,USD,Amazon,sheet,,
Electronics & power,USB sound card + 8 ohm 5 W speaker,-,1,19.50,USD,-,sheet,,
Electronics & power,Work light,-,1,7.99,USD,Amazon,sheet,,
Electronics & power,Power cord extension,-,1,16.95,USD,Amazon,sheet,,
Electronics & power,Wi-Fi antenna extension cable,-,2,17.99,USD,Amazon,sheet,,
Compute,NVIDIA Jetson AGX Thor Developer Kit,-,1,3499.00,USD,NVIDIA,verified,"Official MSRP $3499; the sheet's $3500 is right. Swappable - see the scenario table.",https://developer.nvidia.com/embedded/buy-jetson
